time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-04-17 00:00:00+00:00,360,110,332,86
2022-04-18 00:00:00+00:00,479,141,946,124
2022-04-19 00:00:00+00:00,945,189,1422,204
2022-04-20 00:00:00+00:00,650,158,1151,175
2022-04-21 00:00:00+00:00,396,108,777,150
2022-04-22 00:00:00+00:00,340,93,877,121
2022-04-23 00:00:00+00:00,263,80,266,63
2022-04-24 00:00:00+00:00,256,77,329,82
2022-04-25 00:00:00+00:00,373,122,1363,135
2022-04-26 00:00:00+00:00,432,121,1153,150
2022-04-27 00:00:00+00:00,783,147,995,170
2022-04-28 00:00:00+00:00,535,101,1048,125
2022-04-29 00:00:00+00:00,253,99,591,143
2022-04-30 00:00:00+00:00,164,73,397,79
