time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-03-25 00:00:00+00:00,302,96,556,137
2022-03-26 00:00:00+00:00,201,83,266,105
2022-03-27 00:00:00+00:00,135,77,236,120
2022-03-28 00:00:00+00:00,242,92,772,168
2022-03-29 00:00:00+00:00,574,138,1011,173
2022-03-30 00:00:00+00:00,282,101,883,173
2022-03-31 00:00:00+00:00,214,92,723,157
2022-04-01 00:00:00+00:00,255,79,721,148
2022-04-02 00:00:00+00:00,96,55,240,92
2022-04-03 00:00:00+00:00,101,69,257,98
2022-04-04 00:00:00+00:00,138,77,680,162
2022-04-05 00:00:00+00:00,232,75,868,145
2022-04-06 00:00:00+00:00,475,110,700,153
2022-04-07 00:00:00+00:00,427,135,844,146
2022-04-08 00:00:00+00:00,361,106,778,167
2022-04-09 00:00:00+00:00,270,109,413,123
2022-04-10 00:00:00+00:00,674,108,1125,123
2022-04-11 00:00:00+00:00,892,142,1708,198
2022-04-12 00:00:00+00:00,937,186,1276,228
2022-04-13 00:00:00+00:00,1536,199,1839,258
2022-04-14 00:00:00+00:00,999,185,1167,198
2022-04-15 00:00:00+00:00,1026,160,977,169
2022-04-16 00:00:00+00:00,546,124,364,96
2022-04-17 00:00:00+00:00,360,110,332,86
2022-04-18 00:00:00+00:00,479,141,946,124
2022-04-19 00:00:00+00:00,945,189,1422,204
2022-04-20 00:00:00+00:00,650,158,1151,175
2022-04-21 00:00:00+00:00,396,108,777,150
2022-04-22 00:00:00+00:00,340,93,877,121
2022-04-23 00:00:00+00:00,263,80,266,63
2022-04-24 00:00:00+00:00,256,77,329,82
2022-04-25 00:00:00+00:00,373,122,1363,135
2022-04-26 00:00:00+00:00,432,121,1153,150
2022-04-27 00:00:00+00:00,783,147,995,170
2022-04-28 00:00:00+00:00,535,101,1048,125
2022-04-29 00:00:00+00:00,253,99,591,143
2022-04-30 00:00:00+00:00,173,76,402,82
2022-05-01 00:00:00+00:00,174,62,260,79
2022-05-02 00:00:00+00:00,339,77,802,141
2022-05-03 00:00:00+00:00,289,99,616,139
2022-05-04 00:00:00+00:00,324,94,533,132
2022-05-05 00:00:00+00:00,420,100,681,125
2022-05-06 00:00:00+00:00,465,91,838,136
2022-05-07 00:00:00+00:00,172,70,329,83
2022-05-08 00:00:00+00:00,193,77,513,80
