time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-03-13 00:00:00+00:00,94,52,261,80
2022-03-14 00:00:00+00:00,213,85,677,129
2022-03-15 00:00:00+00:00,609,145,783,132
2022-03-16 00:00:00+00:00,1196,127,1688,170
2022-03-17 00:00:00+00:00,316,101,1192,157
2022-03-18 00:00:00+00:00,705,94,1034,147
2022-03-19 00:00:00+00:00,396,111,801,155
2022-03-20 00:00:00+00:00,214,88,362,182
2022-03-21 00:00:00+00:00,596,126,773,173
2022-03-22 00:00:00+00:00,369,119,716,157
2022-03-23 00:00:00+00:00,1522,127,943,160
2022-03-24 00:00:00+00:00,513,116,993,181
2022-03-25 00:00:00+00:00,302,96,556,137
2022-03-26 00:00:00+00:00,176,76,253,98
